"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.794454511E2,6.498301861E1,2.551399590E1,1.330601786E1,1.929999948E0,2.685000000E2,3.790092468E0,2.500000000E0
1.804452119E2,6.498301917E1,2.551395447E1,1.383049892E1,1.919999957E0,2.693999939E2,3.790092468E0,2.500000000E0
1.814455569E2,6.498301856E1,2.551391363E1,1.403198078E1,1.940000057E0,2.636000061E2,3.790092468E0,2.500000000E0
1.824454317E2,6.498301645E1,2.551387211E1,1.428692814E1,1.970000029E0,2.613999939E2,3.790092468E0,2.500000000E0
1.834451132E2,6.498301389E1,2.551383089E1,1.437555425E1,1.940000057E0,2.593999939E2,3.790092468E0,2.535101891E0
1.844453811E2,6.498301209E1,2.551378936E1,1.482337299E1,1.950000048E0,2.612999878E2,3.790092468E0,2.780328751E0
1.854454434E2,6.498300909E1,2.551374627E1,1.499293155E1,1.960000038E0,2.578999939E2,3.790092468E0,2.500000000E0
1.864457638E2,6.498300686E1,2.551370687E1,1.570216319E1,1.899999976E0,2.595000000E2,3.790092468E0,2.572815180E0
1.874458345E2,6.498300462E1,2.551366978E1,1.580830614E1,1.899999976E0,2.595000000E2,3.790092468E0,2.560439110E0
1.884449994E2,6.498300214E1,2.551363234E1,1.567128485E1,1.909999967E0,2.562999878E2,3.790092468E0,2.654765129E0
1.894449868E2,6.498299973E1,2.551359276E1,1.539638549E1,1.889999986E0,2.563999939E2,3.790092468E0,2.565108538E0
1.904451924E2,6.498299769E1,2.551355311E1,1.522195035E1,1.929999948E0,2.588999939E2,3.790092468E0,2.500000000E0
1.914452575E2,6.498299396E1,2.551351325E1,1.502834863E1,1.980000019E0,2.538999939E2,3.790092468E0,2.500000000E0
1.924454551E2,6.498298921E1,2.551347506E1,1.511636197E1,1.929999948E0,2.503000031E2,3.790092468E0,2.500000000E0
1.934456214E2,6.498298502E1,2.551343500E1,1.532296738E1,1.970000029E0,2.493999939E2,3.790092468E0,2.500000000E0
1.944457532E2,6.498298149E1,2.551339288E1,1.547091888E1,1.970000029E0,2.536000061E2,3.790092468E0,2.712764025E0
1.954449505E2,6.498297735E1,2.551335230E1,1.544302733E1,1.899999976E0,2.508999939E2,3.790092468E0,2.500000000E0
